neigh_name,neigh_number,year,week,min_temperature
CENTRO,5,2016,31,18.5748464157145
CENTRO,5,2016,32,16.3960530184722
CENTRO,5,2016,33,17.5105662748638
CENTRO,5,2016,34,16.3756885896879
CENTRO,5,2016,35,19.4428766021181
CENTRO,5,2016,36,20.6541845645133
CENTRO,5,2016,37,20.2893225260638
CENTRO,5,2016,38,18.6231229113828
CENTRO,5,2016,39,17.8087743380444
CENTRO,5,2016,40,18.1699435754078
CENTRO,5,2016,41,19.7928913728828
CENTRO,5,2016,42,21.6358838359943
CENTRO,5,2016,43,18.727114366704
CENTRO,5,2016,44,19.5896639864915
CENTRO,5,2016,45,20.9003515405107
CENTRO,5,2016,46,18.3325021577999
CENTRO,5,2016,47,17.8008013861678
CENTRO,5,2016,48,19.7671269302622
CENTRO,5,2016,49,20.9040831146973
CENTRO,5,2016,50,19.6518295472944
CENTRO,5,2016,51,22.3863816295862
CENTRO,5,2016,52,25.0874508557267
CATUMBI,6,2016,9,20.9111647648536
CATUMBI,6,2016,10,22.0255511550229
CATUMBI,6,2016,11,22.7034798375725
CATUMBI,6,2016,12,22.3183525738236
CATUMBI,6,2016,13,23.9172495334282
CATUMBI,6,2016,14,24.2308224630488
CATUMBI,6,2016,15,24.0426682761822
CATUMBI,6,2016,16,23.8297114143119
CATUMBI,6,2016,17,18.7249134782204
CATUMBI,6,2016,18,17.4988273427573
CATUMBI,6,2016,19,18.6186045028937
CATUMBI,6,2016,20,18.7106540789515
CATUMBI,6,2016,21,17.4558938052702
CATUMBI,6,2016,22,20.0602102135895
CATUMBI,6,2016,23,15.6765062071705
CATUMBI,6,2016,24,13.9121939148321
CATUMBI,6,2016,25,16.6627451475805
CATUMBI,6,2016,26,17.1406215065301
CATUMBI,6,2016,27,16.2108381803304
CATUMBI,6,2016,28,17.5287328906215
CATUMBI,6,2016,29,14.7056680649614
CATUMBI,6,2016,30,17.2585726077506
CATUMBI,6,2016,31,18.1235310803399
CATUMBI,6,2016,32,15.867714694958
CATUMBI,6,2016,33,17.2407985548173
CATUMBI,6,2016,34,15.8569674670591
CATUMBI,6,2016,35,19.0036740666703
CATUMBI,6,2016,36,20.2752811753685
CATUMBI,6,2016,37,19.887120027748
CATUMBI,6,2016,38,17.9933548914218
CATUMBI,6,2016,39,17.5775808077289
CATUMBI,6,2016,40,17.6307013566943
CATUMBI,6,2016,41,19.5610642446441
CATUMBI,6,2016,42,21.6025473063868
CATUMBI,6,2016,43,18.5102817104784
CATUMBI,6,2016,44,19.2684582268456
CATUMBI,6,2016,45,20.7656428616582
CATUMBI,6,2016,46,18.5418933732522
CATUMBI,6,2016,47,17.6860056537484
CATUMBI,6,2016,48,19.7639566344361
CATUMBI,6,2016,49,20.6266858296004
CATUMBI,6,2016,50,19.2917952462474
CATUMBI,6,2016,51,21.5110909192587
CATUMBI,6,2016,52,25.0905943038526
RIO COMPRIDO,7,2016,9,20.8953997833582
RIO COMPRIDO,7,2016,10,21.8769048890664
RIO COMPRIDO,7,2016,11,21.8860132145557
RIO COMPRIDO,7,2016,12,21.8531034764435
RIO COMPRIDO,7,2016,13,23.4753004392954
RIO COMPRIDO,7,2016,14,23.3376265018178
RIO COMPRIDO,7,2016,15,23.5058581385205
RIO COMPRIDO,7,2016,16,23.4684318523413
RIO COMPRIDO,7,2016,17,18.5834641496916
RIO COMPRIDO,7,2016,18,17.0262790104034
RIO COMPRIDO,7,2016,19,18.368072280491
RIO COMPRIDO,7,2016,20,18.1630653733155
